Date,value
2017/4/9,0.022147065
2017/4/10,0.040989062
2017/4/11,0.021714939
2017/4/12,-0.034287725
2017/4/13,-0.028222068
2017/4/14,-0.038141654
2017/4/15,0.01052849
2017/4/16,0.023374879
2017/4/17,-0.005979457
2017/4/18,0.036270336
2017/4/19,0.038005371
2017/4/20,0.039354779
2017/4/21,0.038197082
2017/4/22,0.011171565
2017/4/23,-0.004416869
2017/4/24,0.025952125
2017/4/25,0.048229144
2017/4/26,0.023562009
2017/4/27,0.048052461
2017/4/28,0.020756845
2017/4/29,0.026829101
2017/4/30,0.085799939
2017/5/1,0.090324819
2017/5/2,0.066590651
2017/5/3,0.073151879
2017/5/4,0.057998936
2017/5/5,0.034813017
2017/5/6,0.01929369
2017/5/7,0.09501055
2017/5/8,0.079365055
2017/5/9,0.15443987
2017/5/10,0.113283432
2017/5/11,0.088133992
2017/5/12,-0.011280414
2017/5/13,-0.021519448
2017/5/14,-0.020626861
2017/5/15,-0.025833158
2017/5/16,0.031790621
2017/5/17,-0.000813335
2017/5/18,0.156981075
2017/5/19,0.147203597
2017/5/20,0.086254413
2017/5/21,0.071130086
2017/5/22,0.152050864
2017/5/23,0.096560993
2017/5/24,0.139961411
2017/5/25,-0.056332687
2017/5/26,0.016120801
2017/5/27,-0.082077737
2017/5/28,0.038428084
2017/5/29,0.010620399
2017/5/30,0.032746571
2017/5/31,0.069652391
2017/6/1,0.049204849
2017/6/2,0.10920882
2017/6/3,0.041529974
2017/6/4,0.040950091
2017/6/5,0.198258172
2017/6/6,0.01845922
2017/6/7,0.040929509
2017/6/8,0.010600852
2017/6/9,0.062649061
2017/6/10,0.07308345
2017/6/11,-0.084267198
2017/6/12,-0.019418332
2017/6/13,-0.059641169
2017/6/14,-0.108168223
2017/6/15,-0.089345444
2017/6/16,-0.06867473
2017/6/17,0.027822448
2017/6/18,0.074260869
2017/6/19,0.039834196
2017/6/20,0.064979762
2017/6/21,0.04770477
2017/6/22,0.033662668
2017/6/23,-0.046620995
2017/6/24,-0.080979755
2017/6/25,-0.069114151
2017/6/26,-0.019824548
2017/6/27,0.037891039
2017/6/28,0.015141782
2017/6/29,-0.028998981
2017/6/30,-0.024907721
2017/7/1,-0.057580855
2017/7/2,0.053719294
2017/7/3,0.045957764
2017/7/4,0.057799242
2017/7/5,0.017231614
2017/7/6,-0.054432813
2017/7/7,-0.031870759
2017/7/8,-0.016406437
2017/7/9,-0.069992429
2017/7/10,-0.069816462
2017/7/11,-0.039858086
2017/7/12,-0.007840905
2017/7/13,-0.000904615
2017/7/14,-0.159661199
2017/7/15,-0.179265508
2017/7/16,-0.168548546
2017/7/17,0.231946368
2017/7/18,0.142769697
2017/7/19,0.127876311
2017/7/20,0.239914512
2017/7/21,0.239629283
2017/7/22,0.184344555
2017/7/23,0.007256132
2017/7/24,-0.102945487
2017/7/25,-0.081771696
2017/7/26,-0.016233171
2017/7/27,0.100573488
2017/7/28,0.072824065
2017/7/29,0.021540374
2017/7/30,0.045793271
2017/7/31,0.026347778
2017/8/1,-0.043736856
2017/8/2,-0.008407041
2017/8/3,-0.018091057
2017/8/4,0.249546088
2017/8/5,0.152050863
2017/8/6,0.10253828
2017/8/7,0.100201343
2017/8/8,0.018216003
2017/8/9,0.025402424
2017/8/10,0.087688418
2017/8/11,0.16388
2017/8/12,0.127556394
2017/8/13,0.204905687
2017/8/14,0.076705984
2017/8/15,0.053865994
2017/8/16,0.025776683
2017/8/17,-0.035365162
2017/8/18,-0.02164175
2017/8/19,-0.027054734
2017/8/20,-0.028932203
2017/8/21,-0.032424677
2017/8/22,0.025625667
2017/8/23,0.085920713
2017/8/24,0.069898775
2017/8/25,0.037982417
2017/8/26,0.002529561
2017/8/27,-0.000558916
2017/8/28,0.078549873
2017/8/29,0.048833874
2017/8/30,0.041401856
2017/8/31,0.091819556
2017/9/1,-0.029493589
2017/9/2,-0.005540159
2017/9/3,-0.118513035
2017/9/4,-0.00531005
2017/9/5,-0.043726016
