Date,Value
2017/7/7,-0.007774388
2017/7/10,-0.009745463
2017/7/11,0.005217803
2017/7/12,0.005303152
2017/7/13,0.017451323
2017/7/14,0.012548022
2017/7/17,0.017323127
2017/7/18,0.008799023
2017/7/19,0.001687732
2017/7/20,0.008756697
2017/7/21,0.012289376
2017/7/24,0.010177674
2017/7/25,-0.002888133
2017/7/26,0.008270835
2017/7/27,0.009286182
2017/7/28,0.013752406
2017/7/31,0.007801444
2017/8/1,0.002702085
2017/8/2,-0.000350565
2017/8/3,-0.012504515
2017/8/4,-0.008020251
2017/8/7,-0.002472004
2017/8/8,0.012513646
2017/8/9,0.022896944
2017/8/10,0.017055367
2017/8/11,0.00566817
2017/8/14,-0.013675599
2017/8/15,-0.008311497
2017/8/16,0.006870879
2017/8/17,0.021274871
2017/8/18,0.012261642
2017/8/21,-0.004170927
2017/8/22,-0.005389068
2017/8/23,-0.001322779
2017/8/24,-0.000570634
2017/8/25,0.033005153
2017/8/29,0.010753667
2017/8/30,0.0167035
2017/8/31,0.004620939
2017/9/1,0.020613171
2017/9/4,0.016350863
2017/9/5,0.011566207
2017/9/6,0.008540705
2017/9/7,0.007859006
2017/9/8,-0.006432484
2017/9/11,-0.013836397
2017/9/12,-0.011370958
2017/9/13,-0.006847335
2017/9/14,-0.003065216
2017/9/15,-0.013449087
2017/9/18,-0.010788735
2017/9/19,-0.006572772
2017/9/20,-0.019246614
2017/9/21,-0.00947727
2017/9/22,-0.011445034
2017/9/25,0.007431252
2017/9/26,-0.013700684
2017/9/27,-0.00717392
2017/9/28,-0.010555525
2017/9/29,-0.009165169
2017/10/2,-0.009226054
2017/10/3,-0.004569504
2017/10/4,0.000837389
2017/10/5,-0.010849172
2017/10/6,0.008563769
2017/10/9,0.017071744
2017/10/10,0.017370878
2017/10/11,0.007375225
2017/10/12,0.008818873
2017/10/13,0.010883176
2017/10/16,-0.010188711
2017/10/17,-0.015077052
2017/10/18,-0.008452338
2017/10/19,-0.003746118
2017/10/20,-0.006148031
2017/10/23,-0.006096984
2017/10/24,-0.004326217
2017/10/25,-0.0013241
2017/10/26,-0.009203956
2017/10/27,-0.000276186
2017/10/30,-0.002555347
2017/10/31,0.009278845
2017/11/1,0.005924489
2017/11/2,-0.006360346
2017/11/3,-0.003340589
2017/11/6,-0.000129339
2017/11/7,0.014309999
2017/11/8,0.00970077
2017/11/9,0.005298477
2017/11/10,-0.006262622
2017/11/13,-0.008143232
2017/11/14,0.001397757
2017/11/15,0.001020809
2017/11/16,0.007641543
2017/11/17,0.003562051
2017/11/20,0.001069955
2017/11/21,0.00281812
2017/11/22,0.004197103
2017/11/23,0.00480222
2017/11/24,0.006664483
2017/11/27,9.0182E-05
2017/11/28,-0.007421483
2017/11/29,-0.011114579
2017/11/30,-0.012253916
2017/12/1,-0.007654734
2017/12/4,-0.011632165
2017/12/5,-0.008984174
2017/12/6,-0.015210673
2017/12/7,-0.012292271
2017/12/8,-0.012245583
2017/12/11,-0.011754316
2017/12/12,-0.004931207
2017/12/13,0.005994176
2017/12/14,0.010956568
2017/12/15,0.014232105
2017/12/18,0.006344369
2017/12/19,0.007989648
2017/12/20,0.00283997
2017/12/21,0.018061092
2017/12/27,0.022577142
2017/12/28,0.039308203
2018/1/2,0.024809265
2018/1/3,0.014467562
2018/1/4,0.004088243
2018/1/5,0.004343535
2018/1/8,-0.005294004
2018/1/9,0.004240801
2018/1/10,0.003811474
2018/1/11,0.011289961
2018/1/12,0.01687454
2018/1/15,0.005409954
2018/1/16,0.005582584
2018/1/17,-0.005369519
2018/1/18,0.001433714
2018/1/19,-0.002500997
2018/1/22,0.000844166
2018/1/23,0.019072019
2018/1/24,0.015399235
2018/1/25,0.011146087
2018/1/26,-0.009351268
2018/1/29,-0.006242084
2018/1/30,-0.004676678
2018/1/31,-0.002848227
2018/2/1,-0.012200032
2018/2/2,-0.006677704
2018/2/5,-0.006595693
2018/2/6,-0.006583595
2018/2/7,-0.014811621
2018/2/8,-0.011630785
2018/2/9,0.001582939
2018/2/12,0.007814419
2018/2/13,0.017869508
2018/2/14,0.025295234
2018/2/15,0.017127988
2018/2/16,0.004066419
2018/2/19,-0.010333846
2018/2/20,-0.016725777
2018/2/21,-0.012370724
2018/2/22,-0.007448738
2018/2/23,0.003871763
2018/2/26,-0.004048687
2018/2/27,-0.009593979
2018/2/28,-0.019830544
2018/3/1,0.002674701
2018/3/2,0.001947371
2018/3/5,0.018489228
2018/3/6,0.004373224
2018/3/7,-0.002948544
2018/3/8,-0.007278982
2018/3/9,-0.006767167
2018/3/12,0.002316946
2018/3/13,0.002364653
2018/3/14,-0.001994496
2018/3/15,-0.011244643
2018/3/16,-0.006547577
2018/3/19,-0.005074661
2018/3/20,0.010749208
2018/3/21,0.014013196
2018/3/22,0.029017307
2018/3/23,0.022257065
2018/3/26,0.003663953
2018/3/27,-0.012493667
2018/3/28,-0.020781587
2018/3/29,-0.001849581
2018/4/3,0.005103039
2018/4/4,-0.001002701
2018/4/5,-0.000752307
2018/4/6,-0.002670835
2018/4/9,0.009482239
2018/4/10,0.016769522
2018/4/11,0.002983739
2018/4/12,0.00300709
2018/4/13,0.001442798
2018/4/16,-0.001824165
2018/4/17,0.007572756
2018/4/18,-0.00080384
2018/4/19,-0.007752404
2018/4/20,-0.021495447
2018/4/23,-0.01104204
2018/4/24,-0.011414843
2018/4/25,-0.003069301
2018/4/26,-0.004212211
2018/4/27,-0.008169331
2018/4/30,-0.011150748
2018/5/1,-0.012071009
2018/5/2,0.005074142
2018/5/3,8.39705E-05
2018/5/4,-3.51542E-05
2018/5/8,0.00182327
2018/5/9,0.008210028
2018/5/10,0.013348908
2018/5/11,0.002352809
2018/5/14,-0.023910325
2018/5/15,-0.023328459
2018/5/16,-0.019572628
2018/5/17,-0.004744475
2018/5/18,-0.001872119
2018/5/21,0.004038691
2018/5/22,-0.000769168
2018/5/23,0.016163252
2018/5/24,0.007181009
2018/5/25,0.000809657
2018/5/29,-0.001165407
2018/5/30,0.003334477
2018/5/31,-0.00431418
2018/6/1,-0.00371957
2018/6/4,-0.009422848
2018/6/5,0.006267014
2018/6/6,0.000636846
2018/6/7,0.00399257
2018/6/8,0.000288771
2018/6/11,0.000600724
2018/6/12,-0.002326497
2018/6/13,0.004301082
2018/6/14,-0.014381814
2018/6/15,-0.011740209
2018/6/18,-0.018814621
2018/6/19,-0.008067914
2018/6/20,-0.012898135
2018/6/21,-0.00385181
2018/6/22,-0.003406119
2018/6/25,-0.007014949
2018/6/26,-0.012059974
2018/6/27,-0.012507337
2018/6/28,-0.006949383
2018/6/29,-0.005482419
2018/7/2,0.001498319
2018/7/3,0.005215705
2018/7/4,0.00517688
2018/7/5,0.002224205
2018/7/6,0.00675346
2018/7/9,-0.003609809
2018/7/10,-0.004176771
2018/7/11,-0.012645751
2018/7/12,-0.009959388
2018/7/13,-0.007180563
2018/7/16,-0.01177302
2018/7/17,-0.015053036
2018/7/18,-0.01868312
2018/7/19,0.001363297
2018/7/20,-0.000334291
2018/7/23,0.008150062
2018/7/24,0.003358666
2018/7/25,0.001082062
2018/7/26,-0.004865557
2018/7/27,-0.00542238
2018/7/30,-0.005932616
2018/7/31,-0.004262507
2018/8/1,-0.007068582
2018/8/2,-0.002994116
2018/8/3,-0.008782577
2018/8/6,-0.001475921
2018/8/7,-0.005378099
2018/8/8,0.004867172
2018/8/9,0.001772277
2018/8/10,-0.01178876
2018/8/13,-0.013955683
2018/8/14,-0.027815687
2018/8/15,-0.015239929
2018/8/16,-0.01349834
2018/8/17,0.003953185
2018/8/20,0.01048605
2018/8/21,0.015350244
2018/8/22,0.004045501
2018/8/23,0.006421119
2018/8/24,0.0170922
2018/8/28,0.005761136
2018/8/29,-0.003786459
2018/8/30,-0.004947388
2018/8/31,-0.003330292
2018/9/3,-0.008300079
2018/9/4,-0.002163233
2018/9/5,0.007464028
2018/9/6,0.003472553
2018/9/7,-0.001542217
2018/9/10,-0.013152964
2018/9/11,-0.000365822
2018/9/12,0.015376767
2018/9/13,0.00599272
2018/9/14,0.003516227
2018/9/17,-0.007078679
2018/9/18,0.002050225
2018/9/19,0.006670473
2018/9/20,-0.004568539
2018/9/21,0.000522568
2018/9/24,-0.00430454
2018/9/25,-0.006199559
2018/9/26,-0.015810428
2018/9/27,-0.00977125
2018/9/28,-0.002262164
2018/10/1,0.019790263
2018/10/2,0.009192893
2018/10/3,0.010067654
2018/10/4,-0.000265978
2018/10/5,-0.016333494
2018/10/8,-0.013878521
2018/10/9,-0.009050091
2018/10/10,0.020092897
2018/10/11,0.030595658
2018/10/12,0.033126599
2018/10/15,0.017703731
2018/10/16,0.005449603
2018/10/17,-0.007094123
2018/10/18,-0.000372852
2018/10/19,-0.006254809
2018/10/22,0.013659414
2018/10/23,0.000684532
2018/10/24,0.005190721
2018/10/25,-0.000106674
2018/10/26,-0.000826744
2018/10/29,-0.005930691
2018/10/30,-0.016883804
2018/10/31,0.006030952
2018/11/1,0.00612205
2018/11/2,0.011431525
2018/11/5,4.05458E-05
2018/11/6,-0.002116806
2018/11/7,-0.007730246
2018/11/8,-0.018689876
2018/11/9,-0.019310501
2018/11/12,-0.016388527
2018/11/13,-0.005212843
2018/11/14,0.007884639
2018/11/15,0.018674375
2018/11/16,0.012673072
2018/11/19,0.007834138
2018/11/20,0.003810076
2018/11/21,0.004209486
2018/11/22,-0.000884809
2018/11/23,-0.002139803
2018/11/26,-0.004734517
2018/11/27,-0.010195671
2018/11/28,0.006581941
2018/11/29,-0.004868422
2018/11/30,0.015789491
2018/12/3,0.014392909
2018/12/4,0.010967206
2018/12/5,0.010295928
2018/12/6,0.002780788
2018/12/7,0.00698899
2018/12/10,0.001914447
2018/12/11,0.001751917
2018/12/12,-0.002834785
2018/12/13,-0.00957443
2018/12/14,-0.000698893
2018/12/17,0.004686602
2018/12/18,0.016625527
2018/12/19,0.014261233
2018/12/20,0.007304569
2018/12/21,0.012109799
2018/12/27,0.017451924
2018/12/28,0.018086393
2019/1/2,0.017403564
2019/1/3,-0.002947537
2019/1/4,0.009807167
2019/1/7,-0.003749356
2019/1/8,0.005803709
2019/1/9,0.001261586
2019/1/10,0.000663292
2019/1/11,0.00382408
2019/1/14,0.002485539
2019/1/15,0.001388285
2019/1/16,-0.00204728
2019/1/17,-0.008924557
2019/1/18,-0.010188089
2019/1/21,-0.004725014
2019/1/22,-0.003440896
2019/1/23,0.003942107
2019/1/24,0.011702325
2019/1/25,0.018003844
2019/1/28,0.017548758
2019/1/29,0.011983722
2019/1/30,0.018065815
2019/1/31,0.006021784
2019/2/1,-0.001948734
2019/2/4,-0.005209098
2019/2/5,-0.004358211
2019/2/6,-0.002358456
2019/2/7,0.00206477
2019/2/8,-0.006486388
2019/2/11,0.000733707
2019/2/12,9.06381E-05
2019/2/13,0.002783037
2019/2/14,0.005849317
2019/2/15,0.011580154
2019/2/18,0.017834001
2019/2/19,0.020808345
2019/2/20,-0.000513929
2019/2/21,-0.004793673
2019/2/22,-0.007031073
2019/2/25,-0.005819068
2019/2/26,-0.005003514
2019/2/27,-0.008720528
2019/2/28,-0.010888064
2019/3/1,-0.03294776
2019/3/4,-0.024152967
2019/3/5,-0.015477975
2019/3/6,-0.000116476
2019/3/7,0.012535266
2019/3/8,0.003626297
2019/3/11,0.008647319
2019/3/12,0.010498666
2019/3/13,-0.001891078
2019/3/14,0.006172511
2019/3/15,0.000589541
2019/3/18,0.008447994
2019/3/19,-0.001246907
2019/3/20,0.004413812
2019/3/21,0.003311448
2019/3/22,0.013026564
2019/3/25,0.003475166
2019/3/26,-0.003719504
2019/3/27,-0.020726533
2019/3/28,-0.013767575
2019/3/29,-0.01066885
2019/4/1,-0.004372338
2019/4/2,-0.003249907
2019/4/3,-0.009196892
2019/4/4,0.000345519
2019/4/5,0.010887887
2019/4/8,0.014414208
2019/4/9,0.011680878
2019/4/10,-0.00309422
2019/4/11,-0.007559468
2019/4/12,-0.015790883
2019/4/15,-0.01805604
2019/4/16,-0.012373196
2019/4/17,-0.006318267
2019/4/18,-0.006718163
2019/4/23,-0.002278333
2019/4/24,0.006997009
2019/4/25,0.01132054
2019/4/26,0.003333039
2019/4/29,0.001664719
2019/4/30,0.0005542
2019/5/1,-0.010180555
2019/5/2,-0.000368568
2019/5/3,3.77906E-06
2019/5/7,0.010727043
2019/5/8,0.00538241
2019/5/9,0.004137741
2019/5/10,0.00988817
2019/5/13,0.009401898
2019/5/14,0.007914835
2019/5/15,-0.005187367
2019/5/16,-0.015546426
2019/5/17,-0.016104494
2019/5/20,-0.015289174
2019/5/21,-0.003795297
2019/5/22,0.008378367
2019/5/23,0.007449582
2019/5/24,0.00107755
2019/5/28,-0.000268409
2019/5/29,-0.000979345
2019/5/30,0.016528314
2019/5/31,0.031925529
2019/6/3,0.031332131
2019/6/4,0.028918079
2019/6/5,0.012119141
2019/6/6,0.011849882
2019/6/7,-0.007945815
2019/6/10,-0.009188635
2019/6/11,-0.002296383
2019/6/12,0.006356463
2019/6/13,0.022391655
2019/6/14,0.002784187
2019/6/17,0.002524826
2019/6/18,-0.003280621
2019/6/19,0.036703212
2019/6/20,0.042638975
2019/6/21,0.040582213
2019/6/24,0.040081926
2019/6/25,-0.00399335
2019/6/26,-0.004222316
2019/6/27,-0.01051638
2019/6/28,-0.014054166
2019/7/1,-0.007517985
2019/7/2,0.01075313
2019/7/3,0.016378569
2019/7/4,-0.010523487
2019/7/5,-0.005388694
2019/7/8,-0.015519512
2019/7/9,0.016781492
2019/7/10,0.010998807
2019/7/11,0.007327598
2019/7/12,0.003599214
2019/7/15,-0.002771456
2019/7/16,0.001556925
2019/7/17,0.005429088
2019/7/18,0.025524049
2019/7/19,0.007161861
2019/7/22,0.002924871
2019/7/23,-0.006793456
2019/7/24,-0.010195243
2019/7/25,-0.002141387
2019/7/26,-0.004618221
2019/7/29,0.00786695
2019/7/30,0.005094831
2019/7/31,-0.013951016
2019/8/1,0.020011036
2019/8/2,0.032299334
2019/8/5,0.03430015
2019/8/6,0.050086932
2019/8/7,0.015873862
2019/8/8,0.017396483
2019/8/9,0.001744984
2019/8/12,-0.000217778
2019/8/13,0.012886176
2019/8/14,0.007630152
2019/8/15,0.008961873
2019/8/16,-0.0148792
2019/8/19,-0.004472278
2019/8/20,-0.00628047
2019/8/21,0.002415929
2019/8/22,0.000103152
2019/8/23,0.025892763
2019/8/27,0.022022144
2019/8/28,0.020417777
2019/8/29,-0.005988395
2019/8/30,-0.00738092
2019/9/2,0.002501984
